mainTableName,COLUMN_NAME,referenceTableName,refColumnName,DATA_TYPE,TABLE_DESCRIPTION,COLUMN_DESCRIPTION
OTM.ALLOCATION_D,ORDER_RELEASE_LINE_GID,,,datetime,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.ALLOCATION_D,PACKAGED_ITEM_GID,,,datetime,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.ALLOCATION_D,PRIVATE_COST,,,bigint,Stores all location master data used across shipments and orders.,Business-specific data stored in column PRIVATE_COST.
OTM.ALLOCATION_D,PRIVATE_COST_BASE,,,bigint,Stores all location master data used across shipments and orders.,Business-specific data stored in column PRIVATE_COST_BASE.
OTM.ALLOCATION_D,PRIVATE_COST_CURRENCY_GID,,,datetime,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.ALLOCATION_D,SHIPMENT_GID,,,datetime,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.ALLOCATION_D,T_LINE_COST_CURRENCY_GID,,,datetime,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.ALLOCATION_D,TOTAL_ALLOC_C_FN,,,float,Stores all location master data used across shipments and orders.,Business-specific data stored in column TOTAL_ALLOC_C_FN.
OTM.ALLOCATION_D,TOTAL_ALLOC_C_FN_CURRENCY_GID,,,float,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.ALLOCATION_D,TOTAL_ALLOC_LINE_COST,,,float,Stores all location master data used across shipments and orders.,Business-specific data stored in column TOTAL_ALLOC_LINE_COST.
OTM.ALLOCATION_D,TOTAL_ALLOC_LINE_COST_BASE,,,float,Stores all location master data used across shipments and orders.,Business-specific data stored in column TOTAL_ALLOC_LINE_COST_BASE.
OTM.ALLOCATION_D,UPDATE_DATE,,,float,Stores all location master data used across shipments and orders.,Date or timestamp associated with the transaction or event.
OTM.ALLOCATION_D,UPDATE_USER,,,float,Stores all location master data used across shipments and orders.,Business-specific data stored in column UPDATE_USER.
OTM.ALLOCATION_OR_LINE_D,ACCESSORIAL_CODE_GID,,,datetime,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.ALLOCATION_OR_LINE_D,ALLOC_COST_SEQNO,,,bigint,Stores all location master data used across shipments and orders.,Business-specific data stored in column ALLOC_COST_SEQNO.
OTM.ALLOCATION_OR_LINE_D,ALLOC_SEQ_NO,,,bigint,Stores all location master data used across shipments and orders.,Business-specific data stored in column ALLOC_SEQ_NO.
OTM.ALLOCATION_OR_LINE_D,COST,,,float,Stores all location master data used across shipments and orders.,Business-specific data stored in column COST.
OTM.ALLOCATION_OR_LINE_D,COST_BASE,,,float,Stores all location master data used across shipments and orders.,Business-specific data stored in column COST_BASE.
OTM.ALLOCATION_OR_LINE_D,COST_CURRENCY_GID,,,datetime,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.ALLOCATION_OR_LINE_D,COST_DESCRIPTION,,,datetime,Stores all location master data used across shipments and orders.,Business-specific data stored in column COST_DESCRIPTION.
OTM.ALLOCATION_OR_LINE_D,COST_FN,,,float,Stores all location master data used across shipments and orders.,Business-specific data stored in column COST_FN.
OTM.ALLOCATION_OR_LINE_D,COST_FN_CURRENCY_GID,,,float,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.ALLOCATION_OR_LINE_D,COST_TYPE_GID,,,datetime,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.ALLOCATION_OR_LINE_D,DOMAIN_NAME,,,datetime,Stores all location master data used across shipments and orders.,Business-specific data stored in column DOMAIN_NAME.
OTM.ALLOCATION_OR_LINE_D,EXCHANGE_RATE_DATE,,,datetime,Stores all location master data used across shipments and orders.,Date or timestamp associated with the transaction or event.
OTM.ALLOCATION_OR_LINE_D,EXCHANGE_RATE_GID,,,datetime,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.ALLOCATION_OR_LINE_D,GENERAL_LEDGER_GID,,,float,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.ALLOCATION_OR_LINE_D,INSERT_DATE,,,datetime,Stores all location master data used across shipments and orders.,Date or timestamp associated with the transaction or event.
OTM.ALLOCATION_OR_LINE_D,INSERT_USER,,,datetime,Stores all location master data used across shipments and orders.,Business-specific data stored in column INSERT_USER.
OTM.ALLOCATION_OR_LINE_D,INVOICE_GID,,,datetime,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.ALLOCATION_OR_LINE_D,LINEITEM_SEQ_NO,,,float,Stores all location master data used across shipments and orders.,Business-specific data stored in column LINEITEM_SEQ_NO.
OTM.ALLOCATION_OR_LINE_D,MTBI_BUSINESS_UNIT,,,float,Stores all location master data used across shipments and orders.,Business-specific data stored in column MTBI_BUSINESS_UNIT.
OTM.ALLOCATION_OR_LINE_D,ORDER_RELEASE_LINE_GID,,,datetime,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.ALLOCATION_OR_LINE_D,UPDATE_DATE,,,float,Stores all location master data used across shipments and orders.,Date or timestamp associated with the transaction or event.
OTM.ALLOCATION_OR_LINE_D,UPDATE_USER,,,float,Stores all location master data used across shipments and orders.,Business-specific data stored in column UPDATE_USER.
OTM.LOCATION,ALLOW_DRIVER_REST,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column ALLOW_DRIVER_REST.
OTM.LOCATION,APPOINT_DISPLAY,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column APPOINT_DISPLAY.
OTM.LOCATION,APPOINT_DISPLAY_BASE,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column APPOINT_DISPLAY_BASE.
OTM.LOCATION,APPOINT_DISPLAY_START_TIME,,,nvarchar,Stores all location master data used across shipments and orders.,Date or timestamp associated with the transaction or event.
OTM.LOCATION,APPOINT_DISPLAY_UOM_CODE,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column APPOINT_DISPLAY_UOM_CODE.
OTM.LOCATION,APPOINTMENT_ACTIVITY_TYPE,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column APPOINTMENT_ACTIVITY_TYPE.
OTM.LOCATION,APPT_OBJECT_TYPE,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column APPT_OBJECT_TYPE.
OTM.LOCATION,APPT_SEARCH_DAYS,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column APPT_SEARCH_DAYS.
OTM.LOCATION,APPT_SHOW_NUMBER_OF_OPTIONS,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column APPT_SHOW_NUMBER_OF_OPTIONS.
OTM.LOCATION,ATTRIBUTE_DATE1,,,nvarchar,Stores all location master data used across shipments and orders.,Generic attribute used for custom business data.
OTM.LOCATION,ATTRIBUTE_DATE10,,,nvarchar,Stores all location master data used across shipments and orders.,Generic attribute used for custom business data.
OTM.LOCATION,ATTRIBUTE_DATE2,,,nvarchar,Stores all location master data used across shipments and orders.,Generic attribute used for custom business data.
OTM.LOCATION,ATTRIBUTE_DATE3,,,nvarchar,Stores all location master data used across shipments and orders.,Generic attribute used for custom business data.
OTM.LOCATION,ATTRIBUTE_DATE4,,,nvarchar,Stores all location master data used across shipments and orders.,Generic attribute used for custom business data.
OTM.LOCATION,ATTRIBUTE_DATE5,,,nvarchar,Stores all location master data used across shipments and orders.,Generic attribute used for custom business data.
OTM.LOCATION,ATTRIBUTE_DATE6,,,nvarchar,Stores all location master data used across shipments and orders.,Generic attribute used for custom business data.
OTM.LOCATION,ATTRIBUTE_DATE7,,,nvarchar,Stores all location master data used across shipments and orders.,Generic attribute used for custom business data.
OTM.LOCATION,ATTRIBUTE_DATE8,,,nvarchar,Stores all location master data used across shipments and orders.,Generic attribute used for custom business data.
OTM.LOCATION,ATTRIBUTE_DATE9,,,nvarchar,Stores all location master data used across shipments and orders.,Generic attribute used for custom business data.
OTM.LOCATION,ATTRIBUTE_NUMBER1,,,nvarchar,Stores all location master data used across shipments and orders.,Generic attribute used for custom business data.
OTM.LOCATION,ATTRIBUTE_NUMBER10,,,nvarchar,Stores all location master data used across shipments and orders.,Generic attribute used for custom business data.
OTM.LOCATION,ATTRIBUTE_NUMBER2,,,nvarchar,Stores all location master data used across shipments and orders.,Generic attribute used for custom business data.
OTM.LOCATION,ATTRIBUTE_NUMBER3,,,nvarchar,Stores all location master data used across shipments and orders.,Generic attribute used for custom business data.
OTM.LOCATION,ATTRIBUTE_NUMBER4,,,nvarchar,Stores all location master data used across shipments and orders.,Generic attribute used for custom business data.
OTM.LOCATION,ATTRIBUTE_NUMBER5,,,nvarchar,Stores all location master data used across shipments and orders.,Generic attribute used for custom business data.
OTM.LOCATION,ATTRIBUTE_NUMBER6,,,nvarchar,Stores all location master data used across shipments and orders.,Generic attribute used for custom business data.
OTM.LOCATION,ATTRIBUTE_NUMBER7,,,nvarchar,Stores all location master data used across shipments and orders.,Generic attribute used for custom business data.
OTM.LOCATION,ATTRIBUTE_NUMBER8,,,nvarchar,Stores all location master data used across shipments and orders.,Generic attribute used for custom business data.
OTM.LOCATION,ATTRIBUTE_NUMBER9,,,nvarchar,Stores all location master data used across shipments and orders.,Generic attribute used for custom business data.
OTM.LOCATION,ATTRIBUTE1,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column ATTRIBUTE1.
OTM.LOCATION,ATTRIBUTE10,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column ATTRIBUTE10.
OTM.LOCATION,ATTRIBUTE11,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column ATTRIBUTE11.
OTM.LOCATION,ATTRIBUTE12,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column ATTRIBUTE12.
OTM.LOCATION,ATTRIBUTE13,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column ATTRIBUTE13.
OTM.LOCATION,ATTRIBUTE14,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column ATTRIBUTE14.
OTM.LOCATION,ATTRIBUTE15,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column ATTRIBUTE15.
OTM.LOCATION,ATTRIBUTE16,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column ATTRIBUTE16.
OTM.LOCATION,ATTRIBUTE17,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column ATTRIBUTE17.
OTM.LOCATION,ATTRIBUTE18,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column ATTRIBUTE18.
OTM.LOCATION,ATTRIBUTE19,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column ATTRIBUTE19.
OTM.LOCATION,ATTRIBUTE2,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column ATTRIBUTE2.
OTM.LOCATION,ATTRIBUTE20,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column ATTRIBUTE20.
OTM.LOCATION,ATTRIBUTE3,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column ATTRIBUTE3.
OTM.LOCATION,ATTRIBUTE4,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column ATTRIBUTE4.
OTM.LOCATION,ATTRIBUTE5,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column ATTRIBUTE5.
OTM.LOCATION,ATTRIBUTE6,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column ATTRIBUTE6.
OTM.LOCATION,ATTRIBUTE7,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column ATTRIBUTE7.
OTM.LOCATION,ATTRIBUTE8,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column ATTRIBUTE8.
OTM.LOCATION,ATTRIBUTE9,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column ATTRIBUTE9.
OTM.LOCATION,BB_IS_NEW_STORE,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column BB_IS_NEW_STORE.
OTM.LOCATION,BB_MAX_CASES_PER_BATCH,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column BB_MAX_CASES_PER_BATCH.
OTM.LOCATION,BB_ORDER_SPLIT_METHOD,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column BB_ORDER_SPLIT_METHOD.
OTM.LOCATION,CITY,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column CITY.
OTM.LOCATION,COUNTRY_CODE3_GID,,,nvarchar,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.LOCATION,COUNTY_QUALIFIER,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column COUNTY_QUALIFIER.
OTM.LOCATION,DELIVERY_GROUP_NAME,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column DELIVERY_GROUP_NAME.
OTM.LOCATION,DESCRIPTION,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column DESCRIPTION.
OTM.LOCATION,DOMAIN_NAME,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column DOMAIN_NAME.
OTM.LOCATION,DROPOFF_ROUTING_SEQUENCE_GID,,,nvarchar,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.LOCATION,ENFORCE_TIME_WINDOW_APPOINT,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column ENFORCE_TIME_WINDOW_APPOINT.
OTM.LOCATION,EQUIPMENT_GROUP_PROFILE_GID,,,nvarchar,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.LOCATION,ERPC_GID,,,nvarchar,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.LOCATION,EXCLUDE_FROM_ROUTE_EXECUTION,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column EXCLUDE_FROM_ROUTE_EXECUTION.
OTM.LOCATION,INSERT_DATE,,,nvarchar,Stores all location master data used across shipments and orders.,Date or timestamp associated with the transaction or event.
OTM.LOCATION,INSERT_USER,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column INSERT_USER.
OTM.LOCATION,IS_ADDRESS_VALID,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column IS_ADDRESS_VALID.
OTM.LOCATION,IS_FIXED_ADDRESS,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column IS_FIXED_ADDRESS.
OTM.LOCATION,IS_LTL_SPLITABLE,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column IS_LTL_SPLITABLE.
OTM.LOCATION,IS_MAKE_APPT_BEFORE_PLAN,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column IS_MAKE_APPT_BEFORE_PLAN.
OTM.LOCATION,IS_SHIPPER_KNOWN,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column IS_SHIPPER_KNOWN.
OTM.LOCATION,IS_TEMPLATE,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column IS_TEMPLATE.
OTM.LOCATION,IS_TEMPORARY,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column IS_TEMPORARY.
OTM.LOCATION,LAT,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column LAT.
OTM.LOCATION,LOCATION_GID,,,nvarchar,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.LOCATION,LOCATION_GROUP_GID,,,nvarchar,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.LOCATION,LOCATION_NAME,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column LOCATION_NAME.
OTM.LOCATION,LOCATION_XID,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column LOCATION_XID.
OTM.LOCATION,LON,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column LON.
OTM.LOCATION,MTBI_BUSINESS_UNIT,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column MTBI_BUSINESS_UNIT.
OTM.LOCATION,NUM_OF_ROWS_IN_YARD,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column NUM_OF_ROWS_IN_YARD.
OTM.LOCATION,NUM_OF_SLOTS_PER_ROW_IN_YARD,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column NUM_OF_SLOTS_PER_ROW_IN_YARD.
OTM.LOCATION,PICKUP_ROUTING_SEQUENCE_GID,,,nvarchar,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.LOCATION,POSTAL_CODE,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column POSTAL_CODE.
OTM.LOCATION,POSTAL_SPLC_GID,,,nvarchar,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.LOCATION,PRIMARY_ADDRESS_LINE_SEQ,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column PRIMARY_ADDRESS_LINE_SEQ.
OTM.LOCATION,PROVINCE,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column PROVINCE.
OTM.LOCATION,PROVINCE_CODE,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column PROVINCE_CODE.
OTM.LOCATION,RAIL_JUNCTION_CODE_GID,,,nvarchar,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.LOCATION,RAIL_SPLC_GID,,,nvarchar,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.LOCATION,RAIL_STATION_CODE_GID,,,nvarchar,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.LOCATION,RATE_CLASSIFICATION_GID,,,nvarchar,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.LOCATION,REGION_GID,REGION_DETAIL,REGION_GID,nvarchar,Stores all location master data used across shipments and orders.,References REGION_DETAIL table using column REGION_GID.
OTM.LOCATION,SCHEDULE_INFEASIBLE_APPOINT,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column SCHEDULE_INFEASIBLE_APPOINT.
OTM.LOCATION,SCHEDULE_LOW_PRIORITY_APPOINT,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column SCHEDULE_LOW_PRIORITY_APPOINT.
OTM.LOCATION,SERVING_SERVPROV_PROFILE_GID,,,nvarchar,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.LOCATION,SERVPROV_PROFILE_GID,,,nvarchar,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.LOCATION,SLOT_TIME_INTERVAL,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column SLOT_TIME_INTERVAL.
OTM.LOCATION,SLOT_TIME_INTERVAL_BASE,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column SLOT_TIME_INTERVAL_BASE.
OTM.LOCATION,SLOT_TIME_INTERVAL_UOM_CODE,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column SLOT_TIME_INTERVAL_UOM_CODE.
OTM.LOCATION,SOURCING_GROUP_NAME,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column SOURCING_GROUP_NAME.
OTM.LOCATION,STANDING_APPT_CUTOFF_WINDOW,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column STANDING_APPT_CUTOFF_WINDOW.
OTM.LOCATION,TIME_ZONE_GID,,,nvarchar,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.LOCATION,UPDATE_DATE,,,nvarchar,Stores all location master data used across shipments and orders.,Date or timestamp associated with the transaction or event.
OTM.LOCATION,UPDATE_USER,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column UPDATE_USER.
OTM.LOCATION,USE_APPOINTMENT_PRIORITY,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column USE_APPOINTMENT_PRIORITY.
OTM.LOCATION,YARD_ROW_LABELS,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column YARD_ROW_LABELS.
OTM.LOCATION,YARD_SLOT_LABELS,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column YARD_SLOT_LABELS.
OTM.LOCATION,ZONE1,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column ZONE1.
OTM.LOCATION,ZONE2,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column ZONE2.
OTM.LOCATION,ZONE3,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column ZONE3.
OTM.LOCATION,ZONE4,,,nvarchar,Stores all location master data used across shipments and orders.,Business-specific data stored in column ZONE4.
OTM.SHIPMENT,AIR_RAIL_ROUTE_CODE,,,nvarchar,Contains all shipment records and their logistical details.,Business-specific data stored in column AIR_RAIL_ROUTE_CODE.
OTM.SHIPMENT,APPOINTMENT_PRIORITY_GID,,,nvarchar,Contains all shipment records and their logistical details.,Unique identifier used to link records.
OTM.SHIPMENT,ATTRIBUTE_CURRENCY1,,,float,Contains all shipment records and their logistical details.,Generic attribute used for custom business data.
OTM.SHIPMENT,ATTRIBUTE_CURRENCY1_BASE,,,float,Contains all shipment records and their logistical details.,Generic attribute used for custom business data.
OTM.SHIPMENT,ATTRIBUTE_CURRENCY1_GID,,,nvarchar,Contains all shipment records and their logistical details.,Unique identifier used to link records.
OTM.SHIPMENT,ATTRIBUTE_CURRENCY2,,,float,Contains all shipment records and their logistical details.,Generic attribute used for custom business data.
OTM.SHIPMENT,ATTRIBUTE_CURRENCY2_BASE,,,float,Contains all shipment records and their logistical details.,Generic attribute used for custom business data.
OTM.SHIPMENT,ATTRIBUTE_CURRENCY2_GID,,,nvarchar,Contains all shipment records and their logistical details.,Unique identifier used to link records.
OTM.SHIPMENT,ATTRIBUTE_CURRENCY3,,,float,Contains all shipment records and their logistical details.,Generic attribute used for custom business data.
OTM.SHIPMENT,ATTRIBUTE_CURRENCY3_BASE,,,float,Contains all shipment records and their logistical details.,Generic attribute used for custom business data.
OTM.SHIPMENT,ATTRIBUTE_CURRENCY3_GID,,,nvarchar,Contains all shipment records and their logistical details.,Unique identifier used to link records.
OTM.SHIPMENT,ATTRIBUTE_DATE1,,,datetime2,Contains all shipment records and their logistical details.,Generic attribute used for custom business data.
OTM.SHIPMENT,ATTRIBUTE_DATE10,,,datetime2,Contains all shipment records and their logistical details.,Generic attribute used for custom business data.
OTM.SHIPMENT,ATTRIBUTE_DATE2,,,datetime2,Contains all shipment records and their logistical details.,Generic attribute used for custom business data.
OTM.SHIPMENT,ATTRIBUTE_DATE3,,,datetime2,Contains all shipment records and their logistical details.,Generic attribute used for custom business data.
OTM.SHIPMENT,ATTRIBUTE_DATE4,,,datetime2,Contains all shipment records and their logistical details.,Generic attribute used for custom business data.
OTM.SHIPMENT,ATTRIBUTE_DATE5,,,datetime2,Contains all shipment records and their logistical details.,Generic attribute used for custom business data.
OTM.SHIPMENT,ATTRIBUTE_DATE6,,,datetime2,Contains all shipment records and their logistical details.,Generic attribute used for custom business data.
